-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2726.978s       103.27%     2726.978s     2726.978s             1  
                         aten::_flash_attention_forward         0.03%     913.967ms         0.12%        3.300s      54.024us     1256.422s        47.58%     1257.529s      20.586ms         61088  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1168.104s        44.24%     1168.104s     380.242ms          3072  
                                               aten::mm         0.18%        4.844s         2.70%       73.599s     171.349us      756.380s        28.64%      772.718s       1.799ms        429525  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      715.372s        27.09%      715.372s      33.267ms         21504  
                                            aten::copy_         0.06%        1.683s         0.26%        7.064s      14.823us      266.434s        10.09%      266.513s     559.228us        476573  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      207.301s         7.85%      207.301s       1.615ms        128320  
                                              aten::mul         0.16%        4.436s         1.28%       34.788s      40.336us       94.190s         3.57%       94.234s     109.261us        862462  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       88.027s         3.33%       88.027s       1.517ms         58016  
                                              aten::cat         0.09%        2.384s         0.14%        3.751s      10.035us       81.951s         3.10%       81.961s     219.270us        373791  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       49.640s         1.88%       49.640s     451.734us        109888  
                                              aten::bmm         0.03%     772.285ms         0.04%        1.053s      30.822us       49.352s         1.87%       49.376s       1.445ms         34165  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.909s         1.85%       48.909s      95.842us        510304  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       37.067s         1.40%       37.067s       6.033ms          6144  
                                              aten::add         0.10%        2.600s         0.19%        5.174s       9.796us       36.849s         1.40%       36.868s      69.793us        528239  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       32.285s         1.22%       32.285s     125.050us        258176  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       30.030s         1.14%       30.030s     172.539us        174048  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       25.478s         0.96%       25.478s     142.387us        178933  
