-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.226s         0.30%        8.226s      32.117us        256128  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        7.542s         0.27%        7.542s     545.588us         13824  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        6.765s         0.25%        6.765s       2.202ms          3072  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        6.697s         0.24%        6.697s      42.354us        158124  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        6.383s         0.23%        6.383s       8.312ms           768  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.268s         0.23%        6.268s      52.739us        118848  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        6.136s         0.22%        6.136s     443.892us         13824  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        4.444s         0.16%        4.444s     723.374us          6144  
                               aten::linalg_cholesky_ex         0.02%     512.687ms         0.07%        1.969s     142.460us        3.459s         0.13%        3.588s     259.515us         13824  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.895s         0.10%        2.895s       1.482ms          1953  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        2.639s         0.10%        2.639s       8.346us        316248  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        2.131s         0.08%        2.131s      15.416us        138240  
