-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow         0.01%      52.188ms         0.03%     154.377ms      24.740us        1.186s         0.22%        1.186s     190.064us          6240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.186s         0.22%        1.186s     190.064us          6240  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        1.109s         0.21%        1.109s     170.229us          6512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.086s         0.20%        1.086s     166.723us          6512  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.050s         0.20%        1.050s       6.564ms           160  
                                             aten::silu         0.00%      21.013ms         0.92%        4.974s       1.619ms        1.004s         0.19%        1.006s     327.453us          3072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.004s         0.19%        1.004s     326.666us          3072  
void larft_vtv_32<float, 128>(long, long, float cons...         0.00%       0.000us         0.00%       0.000us       0.000us     916.680ms         0.17%     916.680ms     119.359us          7680  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     879.196ms         0.16%     879.196ms      49.415us         17792  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     854.073ms         0.16%     854.073ms      56.787us         15040  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     687.127ms         0.13%     687.127ms      88.547us          7760  
                                              aten::bmm         0.00%       5.113ms         0.00%       5.947ms      33.790us     656.785ms         0.12%     656.785ms       3.732ms           176  
                                       aten::contiguous         0.00%     557.392us         0.01%      75.674ms     236.481us       0.000us         0.00%     600.604ms       1.877ms           320  
                                             aten::mean         0.01%      45.426ms         0.01%      67.461ms      10.811us     584.308ms         0.11%     584.318ms      93.641us          6240  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     584.308ms         0.11%     584.308ms      93.639us          6240  
                                              aten::neg         0.01%      64.311ms         0.04%     238.570ms      18.922us     501.465ms         0.09%     504.112ms      39.983us         12608  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     501.465ms         0.09%     501.465ms      39.774us         12608  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us     387.588ms         0.07%     387.588ms       9.690ms            40  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     357.148ms         0.07%     357.148ms      61.324us          5824  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us     295.551ms         0.06%     295.551ms     115.224us          2565  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     292.072ms         0.05%     292.072ms     342.406us           853  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     279.274ms         0.05%     279.274ms     109.092us          2560  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     268.870ms         0.05%     268.870ms       6.722ms            40  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us     235.235ms         0.04%     235.235ms     178.208us          1320  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     193.948ms         0.04%     193.948ms     808.116us           240  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     169.727ms         0.03%     169.727ms       1.768ms            96  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     130.097ms         0.02%     130.097ms      50.819us          2560  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     126.194ms         0.02%     126.194ms      49.295us          2560  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     124.496ms         0.02%     124.496ms      48.631us          2560  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     100.854ms         0.02%     100.854ms      17.317us          5824  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us      90.297ms         0.02%      90.297ms      11.757us          7680  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us      85.423ms         0.02%      85.423ms      17.222us          4960  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      45.873ms         0.01%      45.873ms     286.705us           160  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      43.129ms         0.01%      43.129ms       3.718us         11600  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us      36.231ms         0.01%      36.231ms       4.718us          7680  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.146ms         0.01%      30.146ms       1.124us         26816  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      29.111ms         0.01%      29.111ms      11.372us          2560  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      27.606ms         0.01%      27.606ms      31.371us           880  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us      22.177ms         0.00%      22.177ms     277.216us            80  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      19.136ms         0.00%      19.136ms       7.475us          2560  
void larfb_restore_v1_R_kernel<float, 16>(long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.087ms         0.00%      18.087ms       2.037us          8880  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      18.045ms         0.00%      18.045ms     225.566us            80  
void larfb_set_v1_R_kernel<float, 16>(long, float*, ...         0.00%       0.000us         0.00%       0.000us       0.000us      17.920ms         0.00%      17.920ms       2.018us          8880  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us      17.790ms         0.00%      17.790ms     222.371us            80  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us      14.223ms         0.00%      14.223ms       4.884us          2912  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.452ms         0.00%      13.452ms       5.605us          2400  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us      13.036ms         0.00%      13.036ms     162.952us            80  
                                        aten::embedding         0.00%     557.429us         0.00%       2.656ms      27.663us       0.000us         0.00%      12.956ms     134.961us            96  
                                     aten::index_select         0.00%     931.058us         0.00%       1.900ms      19.790us      12.956ms         0.00%      12.956ms     134.961us            96  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      12.711ms         0.00%      12.711ms       2.542ms             5  
                                            aten::rsqrt         0.01%      30.078ms         0.01%      48.058ms       7.702us       9.094ms         0.00%       9.097ms       1.458us          6240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.094ms         0.00%       9.094ms       1.457us          6240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.019ms         0.00%       9.019ms       1.445us          6240  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us       6.329ms         0.00%       6.329ms      39.557us           160  
void pegasus_sortI32_by_key_local_core<256, 4, false...         0.00%       0.000us         0.00%       0.000us       0.000us       4.754ms         0.00%       4.754ms       1.917us          2480  
void pegasus_sortI32_by_key_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.591ms         0.00%       4.591ms       1.851us          2480  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       4.434ms         0.00%       4.434ms       1.732us          2560  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       3.914ms         0.00%       3.914ms       1.529us          2560  
                                           aten::argmax         0.00%       1.172ms         0.00%       1.647ms      17.155us       3.032ms         0.00%       3.032ms      31.580us            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.032ms         0.00%       3.032ms      31.580us            96  
void pegasusIinclusive_scan_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000ms         0.00%       3.000ms       1.172us          2560  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us       2.913ms         0.00%       2.913ms       2.207us          1320  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.133ms         0.00%       2.133ms       1.363us          1565  
void zero_lower_kernel<float, 5, 3>(int, int, float*...         0.00%       0.000us         0.00%       0.000us       0.000us       1.898ms         0.00%       1.898ms       1.581us          1200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.362ms         0.00%       1.362ms       7.095us           192  
                                              aten::all         0.00%     955.609us         0.00%       1.356ms      14.120us     889.223us         0.00%     889.223us       9.263us            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     889.223us         0.00%     889.223us       9.263us            96  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us     848.391us         0.00%     848.391us      10.605us            80  
                                            aten::fill_         0.00%       2.059ms         0.00%      12.771ms      26.661us     643.935us         0.00%     787.776us       1.645us           479  
                                             aten::isin         0.00%       1.544ms         0.00%       6.840ms      67.726us       0.000us         0.00%     748.089us       7.407us           101  
                                              aten::cos         0.00%     640.734us         0.00%     974.620us      10.152us     729.063us         0.00%     729.063us       7.594us            96  
