-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        2.035s         0.83%        2.035s     355.132us          5730  
                                             aten::silu         0.01%      16.410ms         0.41%        1.059s     501.229us        1.757s         0.71%        1.758s     832.598us          2112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.757s         0.71%        1.757s     831.887us          2112  
                            svd_v5/power_iteration/at_q         0.00%       8.606ms         0.01%      36.273ms      56.676us       0.000us         0.00%        1.654s       2.584ms           640  
                            svd_v5/power_iteration/at_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.653s         0.67%        1.653s       2.582ms           640  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.579s         0.64%        1.579s     493.516us          3200  
void trsm_right_kernel<int, float, 256, 4, false, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        1.523s         0.62%        1.523s     279.881us          5440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.515s         0.62%        1.515s     132.951us         11392  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us        1.328s         0.54%        1.328s     451.068us          2944  
                             svd_v5/power_iteration/a_q         0.00%       6.978ms         0.01%      24.247ms      37.886us       0.000us         0.00%        1.308s       2.043ms           640  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.308s         0.53%        1.308s       2.043ms           640  
                             svd_v5/power_iteration/a_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.308s         0.53%        1.308s       2.043ms           640  
                                      svd_v5/projection         0.00%       6.512ms        84.51%      216.204s        1.351s       0.000us         0.00%        1.210s       7.560ms           160  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        1.082s         0.44%        1.082s       2.706ms           400  
                                       aten::contiguous         0.00%     546.959us         0.06%     148.001ms     231.251us       0.000us         0.00%        1.068s       1.668ms           640  
                                             aten::mean         0.02%      46.210ms         0.03%      65.771ms      11.478us        1.003s         0.41%        1.003s     174.972us          5730  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us        1.003s         0.41%        1.003s     174.971us          5730  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     927.923ms         0.38%     927.923ms     172.605us          5376  
                                    svd_v5/chol_qr/gram         0.00%       0.000us         0.00%       0.000us       0.000us     887.952ms         0.36%     887.952ms     616.633us          1440  
                                    svd_v5/chol_qr/gram         0.01%      32.661ms         0.09%     236.541ms     164.264us       0.000us         0.00%     883.601ms     613.612us          1440  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     853.296ms         0.35%     853.296ms     761.871us          1120  
                                              aten::neg         0.02%      43.591ms         0.05%     131.413ms      14.460us     812.795ms         0.33%     814.426ms      89.616us          9088  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     812.919ms         0.33%     812.919ms      40.924us         19864  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     812.795ms         0.33%     812.795ms      89.436us          9088  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     614.751ms         0.25%     614.751ms       1.537ms           400  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     558.318ms         0.23%     558.318ms       1.163ms           480  
                                           Buffer Flush         0.00%       7.793ms         0.00%       8.170ms     118.401us     488.267ms         0.20%     488.274ms       7.076ms            69  
                             svd_v5/chol_qr/cholesky_ex         0.00%       0.000us         0.00%       0.000us       0.000us     470.813ms         0.19%     470.813ms     326.953us          1440  
                             svd_v5/chol_qr/cholesky_ex         0.01%      28.738ms         0.11%     271.001ms     188.195us       0.000us         0.00%     429.021ms     297.932us          1440  
                             svd_v5/power_iteration/qr1         0.01%      14.744ms         1.75%        4.488s       7.012ms       0.000us         0.00%     423.716ms     662.056us           640  
                               aten::linalg_cholesky_ex         0.02%      48.353ms         0.08%     198.891ms     138.119us     407.266ms         0.17%     419.815ms     291.538us          1440  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us     417.349ms         0.17%     417.349ms      10.505us         39728  
                              svd_v5/project_to_lowrank         0.00%       0.000us         0.00%       0.000us       0.000us     410.929ms         0.17%     410.929ms       2.568ms           160  
                              svd_v5/project_to_lowrank         0.00%       1.961ms         0.00%       7.860ms      49.123us       0.000us         0.00%     410.662ms       2.567ms           160  
                                            svd_v5/prep         0.00%       0.000us         0.00%       0.000us       0.000us     374.695ms         0.15%     374.695ms       2.342ms           160  
                                            svd_v5/prep         0.00%       5.113ms         0.01%      15.738ms      98.365us       0.000us         0.00%     374.370ms       2.340ms           160  
                                           Unrecognized         1.33%        3.408s         1.33%        3.408s     608.826us     339.476ms         0.14%     339.476ms      60.653us          5597  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     329.152ms         0.13%     329.152ms       2.057ms           160  
                                      svd_v5/projection         0.00%       0.000us         0.00%       0.000us       0.000us     319.850ms         0.13%     319.850ms       1.999ms           160  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     268.013ms         0.11%     268.013ms     197.068us          1360  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     254.541ms         0.10%     254.541ms       3.182ms            80  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us     250.770ms         0.10%     250.770ms      61.313us          4090  
                                       cudaLaunchKernel         0.36%     910.156ms         1.32%        3.370s      11.378us       0.000us         0.00%     243.090ms       0.821us        296198  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     237.418ms         0.10%     237.418ms      11.952us         19864  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     208.257ms         0.08%     208.257ms      13.148us         15840  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     188.963ms         0.08%     188.963ms      52.724us          3584  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     167.405ms         0.07%     167.405ms       2.093ms            80  
                                 svd_v5/chol_qr/to_fp32         0.01%      13.057ms         0.01%      37.540ms      26.070us       0.000us         0.00%     157.200ms     109.166us          1440  
                                 svd_v5/chol_qr/to_fp32         0.00%       0.000us         0.00%       0.000us       0.000us     157.200ms         0.06%     157.200ms     109.166us          1440  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     144.706ms         0.06%     144.706ms       1.809ms            80  
