name	count	device_time_total_s	device_time_avg_ms	cpu_time_total_us	device_time_total_us
svd_v5/total	320	11.217959762002891	35.05612425625903	226663061.389	11217959.76200289
svd_v5/call	160	11.215347740002997	70.09592337501873	226668181.17500016	11215347.740002997
svd_v5/chol_qr/jitter_loop	2880	7.305040407002337	2.536472363542478	222759919.95399994	7305040.407002336
svd_v5/power_iteration/total	160	6.936570896002137	43.353568100013355	7046814.619000074	6936570.896002137
svd_v5/chol_qr/solve_triangular	2880	6.466008447001076	2.2451418218753734	191527.0160007677	6466008.447001075
svd_v5/chol_qr/total	1440	4.865240334002984	3.3786391208354063	223134847.49599963	4865240.334002985
svd_v5/small_svd_fp32	320	4.554614340000385	14.233169812501204	3355337.906000086	4554614.340000385
svd_v5/power_iteration/qr2	640	3.55159205099931	5.549362579686422	2487512.7210002923	3551592.05099931
svd_v5/power_iteration/at_q	1280	3.3063580679996543	2.58309224062473	36272.86200013757	3306358.0679996544
svd_v5/power_iteration/a_q	1280	2.6150622459994954	2.043017379687106	24246.87300015241	2615062.2459994955
svd_v5/chol_qr/gram	2880	1.7715531900010948	0.6151226354170468	236540.86500045843	1771553.1900010947
svd_v5/projection	320	1.5294951560001984	4.779672362500619	216203964.9590001	1529495.1560001983
svd_v5/chol_qr/cholesky_ex	2880	0.8998344310008511	0.31244251076418444	271000.95200013637	899834.4310008511
svd_v5/project_to_lowrank	320	0.8215906360000875	2.5674707375002734	7859.666999962181	821590.6360000875
svd_v5/prep	320	0.74906461400032	2.340826918751	15738.471000086516	749064.61400032
svd_v5/power_iteration/qr1	640	0.42371570000337483	0.6620557812552731	4487648.590999927	423715.70000337483
svd_v5/chol_qr/to_fp32	2880	0.31439921999957504	0.10916639583318578	37540.194000208096	314399.21999957506
svd_v5/reconstruction	320	0.09968142500021122	0.31150445312566005	12405.54399993224	99681.42500021122
svd_v5/chol_qr/scale	2880	0.017072043001257815	0.005927792708770075	72368.66199961744	17072.043001257814
