-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              aten::_local_scalar_dense         0.00%      46.485ms         8.89%      268.565s      35.496ms      10.814ms         0.00%      10.815ms       1.429us          7566  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      10.814ms         0.00%      10.814ms       1.429us          7566  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      10.803ms         0.00%      10.803ms       2.813us          3840  
                                           aten::cumsum         0.00%      46.947ms         0.00%     130.895ms      64.102us      10.792ms         0.00%      10.838ms       5.307us          2042  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      10.293ms         0.00%      10.293ms      13.402us           768  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.032ms         0.00%      10.032ms     104.505us            96  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us       9.707ms         0.00%       9.707ms       3.160us          3072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.320ms         0.00%       9.320ms       1.596us          5838  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       8.482ms         0.00%       8.482ms       4.154us          2042  
void pegasus_sortI32_by_oneCTA<256, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       8.301ms         0.00%       8.301ms      10.808us           768  
                                              aten::any         0.00%      53.822ms         0.00%     138.667ms      36.782us       6.618ms         0.00%      12.413ms       3.293us          3770  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.618ms         0.00%       6.618ms       2.962us          2234  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.447ms         0.00%       6.447ms       1.086us          5934  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.376ms         0.00%       6.376ms       1.619us          3937  
                                              aten::sub         0.00%      37.932ms         0.00%      66.427ms      16.657us       6.125ms         0.00%       6.132ms       1.538us          3988  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.839ms         0.00%       5.839ms       3.802us          1536  
                                              aten::max         0.00%      27.335ms         0.00%      52.292ms      26.872us       5.708ms         0.00%       5.717ms       2.938us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.708ms         0.00%       5.708ms       2.933us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.691ms         0.00%       5.691ms       1.462us          3892  
                                            aten::index         0.00%      32.683ms         0.00%      59.035ms      31.911us       5.480ms         0.00%       5.488ms       2.967us          1850  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.480ms         0.00%       5.480ms       2.962us          1850  
                                       aten::bitwise_or         0.00%      34.046ms         0.00%      59.819ms      15.370us       5.213ms         0.00%       5.220ms       1.341us          3892  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.213ms         0.00%       5.213ms       1.339us          3892  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.019ms         0.00%       5.019ms       2.713us          1850  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.375ms         0.00%       4.375ms       9.114us           480  
                                      aten::bitwise_and         0.00%      16.198ms         0.00%      25.654ms      13.183us       4.236ms         0.00%       4.241ms       2.179us          1946  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.236ms         0.00%       4.236ms       2.177us          1946  
