-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.169s         0.28%        8.169s      34.350us        237824  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us        7.360s         0.25%        7.360s       9.584ms           768  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        7.240s         0.25%        7.240s       4.714ms          1536  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        6.531s         0.22%        6.531s      69.708us         93696  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        6.358s         0.22%        6.358s       8.278ms           768  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        6.315s         0.22%        6.315s      36.137us        174751  
                       ampere_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.998s         0.20%        5.998s     156.200us         38400  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        5.779s         0.20%        5.779s      52.685us        109696  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.733s         0.20%        5.733s     177.742us         32256  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.490s         0.19%        5.490s      61.033us         89952  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.321s         0.18%        5.321s      53.300us         99840  
                                           Buffer Flush         0.02%     611.922ms         0.13%        3.888s       2.558ms        5.034s         0.17%        7.210s       4.744ms          1520  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        4.308s         0.15%        4.308s       2.805ms          1536  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        4.268s         0.15%        4.268s      53.435us         79872  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        3.582s         0.12%        3.582s       3.067ms          1168  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        3.269s         0.11%        3.269s       9.355us        349502  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.683s         0.09%        2.683s       1.482ms          1810  
void lacpy_kernel<float, float, 5, 3>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        2.002s         0.07%        2.002s      41.379us         48384  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.860s         0.06%        1.860s      10.643us        174751  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.833s         0.06%        1.833s       2.162ms           848  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.734s         0.06%        1.734s      15.806us        109696  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.023s         0.03%        1.023s       1.331ms           768  
