-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow         0.03%      92.142ms         0.08%     220.698ms      17.323us        2.057s         0.75%        2.057s     161.444us         12740  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.057s         0.75%        2.057s     161.444us         12740  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        2.055s         0.75%        2.055s     144.900us         14182  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.941s         0.71%        1.941s     606.209us          3202  
                                             aten::silu         0.01%      42.175ms         1.32%        3.758s     599.186us        1.770s         0.65%        1.775s     282.956us          6272  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.770s         0.65%        1.770s     282.164us          6272  
                            svd_v5/power_iteration/at_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.660s         0.61%        1.660s       2.594ms           640  
                            svd_v5/power_iteration/at_q         0.00%       8.606ms         0.01%      33.378ms      52.153us       0.000us         0.00%        1.659s       2.593ms           640  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.554s         0.57%        1.554s      42.748us         36352  
void trsm_right_kernel<int, float, 256, 4, false, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        1.518s         0.55%        1.518s     279.052us          5440  
                             svd_v5/power_iteration/a_q         0.00%       6.980ms         0.01%      23.095ms      36.086us       0.000us         0.00%        1.302s       2.035ms           640  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.302s         0.48%        1.302s       2.035ms           640  
                             svd_v5/power_iteration/a_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.302s         0.48%        1.302s       2.035ms           640  
                                      svd_v5/projection         0.00%       7.116ms        75.76%      215.405s        1.346s       0.000us         0.00%        1.288s       8.047ms           160  
                                           Unrecognized         3.98%       11.309s         3.98%       11.309s     607.709us        1.127s         0.41%        1.127s      60.561us         18609  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        1.084s         0.40%        1.084s       2.711ms           400  
                                       aten::contiguous         0.00%     580.129us         0.05%     152.319ms     237.999us       0.000us         0.00%        1.070s       1.672ms           640  
                                             aten::mean         0.04%     114.258ms         0.06%     160.496ms      11.318us        1.033s         0.38%        1.033s      72.821us         14180  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us        1.033s         0.38%        1.033s      72.819us         14180  
                                    svd_v5/chol_qr/gram         0.00%       0.000us         0.00%       0.000us       0.000us     885.879ms         0.32%     885.879ms     615.194us          1440  
                                    svd_v5/chol_qr/gram         0.01%      31.773ms         0.08%     232.493ms     161.453us       0.000us         0.00%     881.574ms     612.204us          1440  
                                              aten::neg         0.04%     125.868ms         0.14%     402.517ms      15.645us     853.803ms         0.31%     859.140ms      33.393us         25728  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     853.803ms         0.31%     853.803ms      33.186us         25728  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     851.360ms         0.31%     851.360ms     760.143us          1120  
                                       cudaLaunchKernel         0.56%        1.603s         3.43%        9.749s      18.891us       0.000us         0.00%     774.421ms       1.501us        516076  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     713.979ms         0.26%     713.979ms      39.344us         18147  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     627.126ms         0.23%     627.126ms      52.682us         11904  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     620.165ms         0.23%     620.165ms       1.550ms           400  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     558.632ms         0.20%     558.632ms       1.164ms           480  
                             svd_v5/chol_qr/cholesky_ex         0.00%       0.000us         0.00%       0.000us       0.000us     470.210ms         0.17%     470.210ms     326.082us          1442  
                             svd_v5/chol_qr/cholesky_ex         0.01%      28.882ms         0.09%     261.347ms     181.239us       0.000us         0.00%     428.111ms     296.887us          1442  
                             svd_v5/power_iteration/qr1         0.01%      14.626ms         1.68%        4.785s       7.476ms       0.000us         0.00%     422.554ms     660.241us           640  
                               aten::linalg_cholesky_ex         0.02%      43.654ms         0.07%     192.809ms     133.710us     406.621ms         0.15%     418.927ms     290.518us          1442  
                              svd_v5/project_to_lowrank         0.00%       0.000us         0.00%       0.000us       0.000us     413.521ms         0.15%     413.521ms       2.585ms           160  
                              svd_v5/project_to_lowrank         0.00%       1.942ms         0.00%       7.255ms      45.342us       0.000us         0.00%     413.239ms       2.583ms           160  
                                            svd_v5/prep         0.00%       0.000us         0.00%       0.000us       0.000us     375.102ms         0.14%     375.102ms       2.344ms           160  
                                            svd_v5/prep         0.00%       5.840ms         0.01%      18.688ms     116.798us       0.000us         0.00%     374.778ms       2.342ms           160  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us     369.943ms         0.14%     369.943ms      10.193us         36294  
                                        cudaMemsetAsync         0.02%      70.753ms         1.14%        3.233s     154.730us       0.000us         0.00%     353.203ms      16.903us         20896  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     330.106ms         0.12%     330.106ms       2.063ms           160  
                                      svd_v5/projection         0.00%       0.000us         0.00%       0.000us       0.000us     319.563ms         0.12%     319.563ms       1.997ms           160  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     290.463ms         0.11%     290.463ms       1.482ms           196  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     267.944ms         0.10%     267.944ms     197.018us          1360  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     255.612ms         0.09%     255.612ms       3.195ms            80  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us     251.192ms         0.09%     251.192ms      61.416us          4090  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     210.407ms         0.08%     210.407ms      11.595us         18147  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     207.930ms         0.08%     207.930ms      13.112us         15858  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     188.256ms         0.07%     188.256ms      15.815us         11904  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     166.874ms         0.06%     166.874ms       2.086ms            80  
                                 svd_v5/chol_qr/to_fp32         0.00%      13.136ms         0.01%      39.436ms      27.386us       0.000us         0.00%     157.440ms     109.333us          1440  
