-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        6.907s         0.25%        6.907s      39.604us        174401  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.434s         0.24%        6.434s      52.800us        121856  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        5.403s         0.20%        5.403s       1.173ms          4608  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        4.721s         0.17%        4.721s     768.341us          6144  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        4.524s         0.17%        4.524s       2.945ms          1536  
                               aten::linalg_cholesky_ex         0.02%     554.478ms         0.08%        2.195s     158.461us        3.937s         0.14%        4.057s     292.909us         13850  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        3.789s         0.14%        3.789s       3.244ms          1168  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        3.601s         0.13%        3.601s       2.344ms          1536  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        3.579s         0.13%        3.579s      10.261us        348802  
                                 stage:init_random_proj         0.00%       0.000us         0.00%       0.000us       0.000us        3.102s         0.11%        3.102s       2.019ms          1536  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.964s         0.11%        2.964s       1.482ms          2000  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        2.889s         0.11%        2.889s       1.570ms          1840  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.587s         0.10%        2.587s     198.161us         13056  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.413s         0.09%        2.413s      61.445us         39264  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        2.246s         0.08%        2.246s       2.127ms          1056  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        2.036s         0.07%        2.036s      11.675us        174401  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        2.013s         0.07%        2.013s      13.218us        152298  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.937s         0.07%        1.937s      15.898us        121856  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.842s         0.07%        1.842s       2.173ms           848  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.796s         0.07%        1.796s      54.885us         32720  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.412s         0.05%        1.412s       1.838ms           768  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.377s         0.05%        1.377s       9.944us        138448  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.047s         0.04%        1.047s       1.364ms           768  
                                           Buffer Flush         0.00%     113.896ms         0.00%     123.600ms      82.897us     917.914ms         0.03%     919.092ms     616.427us          1491  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     619.164ms         0.02%     619.164ms     403.101us          1536  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     510.870ms         0.02%     510.870ms       3.690us        138448  
                                               cudaFree         0.12%        3.388s         0.12%        3.388s     465.117us     497.842ms         0.02%     497.842ms      68.347us          7284  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     310.363ms         0.01%     310.363ms       5.094us         60928  
                                     aten::index_select         0.00%      30.230ms         0.00%      59.652ms      29.826us     260.586ms         0.01%     263.058ms     131.529us          2000  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     256.635ms         0.01%     256.635ms       1.211us        211968  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     255.219ms         0.01%     255.219ms       2.659ms            96  
                                            aten::rsqrt         0.03%     784.697ms         0.05%        1.266s       9.738us     197.449ms         0.01%     197.480ms       1.519us        130000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     197.449ms         0.01%     197.449ms       1.519us        130000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     194.147ms         0.01%     194.147ms       1.493us        130000  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us     181.454ms         0.01%     181.454ms      59.067us          3072  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     172.367ms         0.01%     172.367ms      20.403us          8448  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     139.417ms         0.01%     139.417ms       9.077us         15360  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     122.072ms         0.00%     122.072ms      39.737us          3072  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     114.339ms         0.00%     114.339ms      21.268us          5376  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     114.248ms         0.00%     114.248ms      21.251us          5376  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     109.885ms         0.00%     109.885ms      23.847us          4608  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     109.223ms         0.00%     109.223ms      20.317us          5376  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      87.807ms         0.00%      87.807ms      38.111us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.347ms         0.00%      69.347ms       2.189us         31674  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us      66.485ms         0.00%      66.485ms      17.314us          3840  
                                           aten::argmax         0.00%      29.007ms         0.00%      44.089ms      22.045us      66.306ms         0.00%      66.420ms      33.210us          2000  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      66.306ms         0.00%      66.306ms      33.153us          2000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      60.502ms         0.00%      60.502ms       4.377us         13824  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      59.918ms         0.00%      59.918ms       2.169us         27626  
                                            aten::triu_         0.00%      90.429ms         0.01%     155.914ms      11.257us      59.762ms         0.00%      59.775ms       4.316us         13850  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us      59.762ms         0.00%      59.762ms       4.315us         13850  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us      52.076ms         0.00%      52.076ms      16.952us          3072  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      50.255ms         0.00%      50.255ms       6.544us          7680  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      48.686ms         0.00%      48.686ms       3.170us         15360  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      36.559ms         0.00%      36.559ms       5.289us          6912  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      34.778ms         0.00%      34.778ms       3.581us          9713  
