-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us        7.601s         0.27%        7.601s      61.859us        122880  
void larft_vtv_32<float, 128>(long, long, float cons...         0.00%       0.000us         0.00%       0.000us       0.000us        7.093s         0.25%        7.093s     115.443us         61440  
                       ampere_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        6.759s         0.24%        6.759s     146.674us         46080  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.153s         0.22%        6.153s      52.590us        116992  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.724s         0.20%        5.724s      82.815us         69120  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        5.363s         0.19%        5.363s      33.908us        158178  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.349s         0.19%        5.349s     165.830us         32256  
                                           Buffer Flush         0.00%     128.105ms         0.00%     143.460ms      94.382us        3.958s         0.14%        3.985s       2.622ms          1520  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        3.667s         0.13%        3.667s       2.387ms          1536  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        3.002s         0.11%        3.002s       1.954ms          1536  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.851s         0.10%        2.851s       1.482ms          1924  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        2.494s         0.09%        2.494s       2.135ms          1168  
