-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.634ms         0.00%       5.634ms       3.668us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.580ms         0.00%       5.580ms       1.450us          3848  
                                            aten::index         0.00%      35.514ms         0.00%      62.965ms      34.445us       5.453ms         0.00%       5.461ms       2.987us          1828  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.453ms         0.00%       5.453ms       2.983us          1828  
                                       aten::bitwise_or         0.00%      36.975ms         0.00%      68.846ms      17.891us       5.179ms         0.00%       5.186ms       1.348us          3848  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.179ms         0.00%       5.179ms       1.346us          3848  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960ms         0.00%       4.960ms       2.714us          1828  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.380ms         0.00%       4.380ms       9.126us           480  
                                      aten::bitwise_and         0.00%      15.786ms         0.00%      25.012ms      13.000us       4.196ms         0.00%       4.197ms       2.182us          1924  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.196ms         0.00%       4.196ms       2.181us          1924  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.184ms         0.00%       4.184ms       2.289us          1828  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.041ms         0.00%       4.041ms       2.000us          2020  
                                     aten::masked_fill_         0.00%      18.709ms         0.00%      79.853ms      41.504us       3.757ms         0.00%       3.765ms       1.957us          1924  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.757ms         0.00%       3.757ms       1.953us          1924  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       3.709ms         0.00%       3.709ms       2.415us          1536  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       3.663ms         0.00%       3.663ms       2.385us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.511ms         0.00%       3.511ms       1.659us          2116  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.279ms         0.00%       3.279ms       2.135us          1536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.180ms         0.00%       3.180ms       2.070us          1536  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.178ms         0.00%       3.178ms       1.739us          1828  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.141ms         0.00%       3.141ms       1.595us          1969  
                                               aten::ge         0.00%      23.475ms         0.00%      37.381ms      19.429us       3.069ms         0.00%       3.072ms       1.597us          1924  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.008ms         0.00%       3.008ms       1.958us          1536  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.928ms         0.00%       2.928ms       1.906us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.905ms         0.00%       2.905ms       1.510us          1924  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.743ms         0.00%       2.743ms       1.786us          1536  
                                             aten::sqrt         0.00%      22.283ms         0.00%      32.769ms      21.334us       2.727ms         0.00%       2.728ms       1.776us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.727ms         0.00%       2.727ms       1.775us          1536  
                                      aten::bitwise_not         0.00%      17.185ms         0.00%      25.845ms      13.433us       2.644ms         0.00%       2.647ms       1.376us          1924  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.644ms         0.00%       2.644ms       1.374us          1924  
