-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        5.899s         0.22%        5.899s      37.328us        158041  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        5.875s         0.22%        5.875s       1.912ms          3072  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        5.483s         0.21%        5.483s     396.595us         13824  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        4.145s         0.16%        4.145s     674.690us          6144  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        3.601s         0.14%        3.601s       2.344ms          1536  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        3.188s         0.12%        3.188s       2.075ms          1536  
                               aten::linalg_cholesky_ex         0.02%     521.227ms         0.08%        2.077s     149.243us        3.124s         0.12%        3.237s     232.537us         13920  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.973s         0.11%        2.973s       1.482ms          2006  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        2.667s         0.10%        2.667s       2.284ms          1168  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        2.329s         0.09%        2.329s       7.369us        316082  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.247s         0.09%        2.247s     172.080us         13056  
                                 stage:init_random_proj         0.00%       0.000us         0.00%       0.000us       0.000us        2.201s         0.08%        2.201s       1.433ms          1536  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        1.925s         0.07%        1.925s      13.850us        139008  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.924s         0.07%        1.924s      15.739us        122240  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.718s         0.07%        1.718s      52.504us         32720  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.712s         0.07%        1.712s       2.019ms           848  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.689s         0.06%        1.689s      57.691us         29280  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.621s         0.06%        1.621s       1.126ms          1440  
                                           Buffer Flush         0.00%     115.302ms         0.00%     130.294ms      88.156us        1.404s         0.05%        1.405s     950.589us          1478  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.323s         0.05%        1.323s       8.373us        158041  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.237s         0.05%        1.237s       1.610ms           768  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.036s         0.04%        1.036s       1.349ms           768  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     945.927ms         0.04%     945.927ms       1.232ms           768  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     720.918ms         0.03%     720.918ms       5.763us        125088  
                                               cudaFree         0.11%        2.953s         0.11%        2.953s     405.445us     547.138ms         0.02%     547.138ms      75.115us          7284  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     532.431ms         0.02%     532.431ms     346.635us          1536  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     442.757ms         0.02%     442.757ms       3.540us        125088  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     424.137ms         0.02%     424.137ms       1.325ms           320  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     413.373ms         0.02%     413.373ms       1.435ms           288  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     301.837ms         0.01%     301.837ms       4.938us         61120  
                                     aten::index_select         0.00%      31.168ms         0.00%      64.113ms      31.960us     246.201ms         0.01%     248.674ms     123.965us          2006  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     241.001ms         0.01%     241.001ms       2.510ms            96  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     239.002ms         0.01%     239.002ms       1.171us        204096  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     212.016ms         0.01%     212.016ms      23.005us          9216  
                                            aten::rsqrt         0.03%     777.123ms         0.05%        1.259s       9.659us     191.317ms         0.01%     191.345ms       1.467us        130390  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     191.317ms         0.01%     191.317ms       1.467us        130390  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     189.883ms         0.01%     189.883ms       1.456us        130390  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     133.019ms         0.01%     133.019ms       8.660us         15360  
