-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.247s         0.28%        8.247s      31.756us        259712  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        6.393s         0.22%        6.393s      68.229us         93696  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.369s         0.22%        6.369s      52.791us        120640  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        6.061s         0.21%        6.061s      34.718us        174567  
                       ampere_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.743s         0.20%        5.743s     149.547us         38400  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.701s         0.20%        5.701s     176.734us         32256  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.454s         0.19%        5.454s      60.630us         89952  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us        5.296s         0.18%        5.296s      53.044us         99840  
                                           Buffer Flush         0.02%     579.449ms         0.09%        2.599s       1.608ms        4.549s         0.16%        5.184s       3.208ms          1616  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        4.187s         0.14%        4.187s       2.726ms          1536  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        4.164s         0.14%        4.164s      52.130us         79872  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        3.601s         0.12%        3.601s       2.344ms          1536  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        3.449s         0.12%        3.449s       2.953ms          1168  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        3.144s         0.11%        3.144s       9.006us        349134  
                                 stage:init_random_proj         0.00%       0.000us         0.00%       0.000us       0.000us        3.058s         0.11%        3.058s       1.991ms          1536  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.936s         0.10%        2.936s       1.482ms          1981  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        2.800s         0.10%        2.800s       1.522ms          1840  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        2.226s         0.08%        2.226s       2.108ms          1056  
void lacpy_kernel<float, float, 5, 3>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.994s         0.07%        1.994s      41.213us         48384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.915s         0.07%        1.915s      15.875us        120640  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.788s         0.06%        1.788s      10.244us        174567  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.742s         0.06%        1.742s       2.055ms           848  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.406s         0.05%        1.406s       1.831ms           768  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.043s         0.04%        1.043s       1.358ms           768  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us     988.280ms         0.03%     988.280ms      18.650us         52992  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     928.108ms         0.03%     928.108ms     241.695us          3840  
void larft_T_32<float, 256>(int, float*, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us     825.356ms         0.03%     825.356ms       9.770us         84480  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     653.441ms         0.02%     653.441ms       3.350us        195072  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     604.333ms         0.02%     604.333ms     393.446us          1536  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us     597.546ms         0.02%     597.546ms      15.561us         38400  
                                               cudaFree         0.11%        3.171s         0.11%        3.171s     486.578us     558.223ms         0.02%     558.223ms      85.670us          6516  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     535.990ms         0.02%     535.990ms      34.895us         15360  
void orgqr_step1_kernel<float, 5, 3>(int, int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     476.574ms         0.02%     476.574ms      34.474us         13824  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     355.844ms         0.01%     355.844ms       1.192us        298464  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     316.213ms         0.01%     316.213ms       5.719us         55296  
