-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.206s         0.30%        8.206s      32.528us        252288  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us        7.823s         0.28%        7.823s      10.186ms           768  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        7.265s         0.26%        7.265s      41.680us        174308  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        7.253s         0.26%        7.253s       4.722ms          1536  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        6.371s         0.23%        6.371s       8.296ms           768  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.161s         0.22%        6.161s      52.692us        116928  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        5.746s         0.21%        5.746s       1.247ms          4608  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        4.957s         0.18%        4.957s     806.771us          6144  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        4.742s         0.17%        4.742s       3.087ms          1536  
                               aten::linalg_cholesky_ex         0.02%     465.683ms         0.07%        2.010s     145.116us        4.111s         0.15%        4.237s     305.992us         13848  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        3.983s         0.14%        3.983s       3.411ms          1168  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        3.762s         0.14%        3.762s      10.792us        348616  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.850s         0.10%        2.850s       1.482ms          1923  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.658s         0.10%        2.658s     203.560us         13056  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.421s         0.09%        2.421s      61.665us         39264  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        2.141s         0.08%        2.141s      12.286us        174308  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        2.102s         0.08%        2.102s      13.803us        152280  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.922s         0.07%        1.922s       2.266ms           848  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.877s         0.07%        1.877s      57.351us         32720  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.849s         0.07%        1.849s      15.811us        116928  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.437s         0.05%        1.437s      10.382us        138432  
                                           Buffer Flush         0.00%     130.356ms         0.01%     172.608ms     118.631us        1.229s         0.04%        1.232s     846.940us          1455  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.086s         0.04%        1.086s       1.414ms           768  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     593.852ms         0.02%     593.852ms       2.062ms           288  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     569.317ms         0.02%     569.317ms     370.649us          1536  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     533.924ms         0.02%     533.924ms       3.857us        138432  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     417.218ms         0.02%     417.218ms     357.207us          1168  
                                  cudaDeviceSynchronize         0.07%        1.974s         0.07%        1.974s       1.284ms     399.743ms         0.01%     399.743ms     260.080us          1537  
                                               cudaFree         0.09%        2.470s         0.09%        2.470s     339.131us     317.009ms         0.01%     317.009ms      43.521us          7284  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     292.185ms         0.01%     292.185ms       4.998us         58464  
                                     aten::index_select         0.00%      23.441ms         0.00%      48.639ms      25.293us     254.810ms         0.01%     257.288ms     133.795us          1923  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     249.775ms         0.01%     249.775ms       2.602ms            96  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     236.991ms         0.01%     236.991ms       1.154us        205344  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us     184.675ms         0.01%     184.675ms      60.116us          3072  
                                            aten::rsqrt         0.02%     584.238ms         0.04%        1.014s       8.110us     184.578ms         0.01%     184.606ms       1.477us        124995  
