-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd         0.02%      58.811ms         1.25%        3.199s      19.995ms        1.985s         0.81%        2.020s      12.627ms           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.954s         0.80%        1.954s     608.197us          3212  
                                             aten::silu         0.01%      15.744ms         0.60%        1.536s     695.785us        1.749s         0.71%        1.750s     792.684us          2208  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.749s         0.71%        1.749s     791.974us          2208  
                            svd_v5/power_iteration/at_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.632s         0.67%        1.632s       2.550ms           640  
                            svd_v5/power_iteration/at_q         0.00%       8.535ms         0.01%      34.151ms      53.360us       0.000us         0.00%        1.631s       2.549ms           640  
void trsm_right_kernel<int, float, 256, 4, false, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        1.516s         0.62%        1.516s     278.608us          5440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.509s         0.62%        1.509s     126.120us         11968  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us        1.407s         0.57%        1.407s     448.774us          3136  
                             svd_v5/power_iteration/a_q         0.00%       6.943ms         0.01%      21.541ms      33.658us       0.000us         0.00%        1.300s       2.032ms           640  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.300s         0.53%        1.300s       2.032ms           640  
                             svd_v5/power_iteration/a_q         0.00%       0.000us         0.00%       0.000us       0.000us        1.300s         0.53%        1.300s       2.032ms           640  
                                      svd_v5/projection         0.00%       6.756ms        83.51%      213.323s        1.333s       0.000us         0.00%        1.283s       8.022ms           160  
                                       aten::contiguous         0.00%     600.166us         0.05%     139.576ms     218.087us       0.000us         0.00%        1.078s       1.684ms           640  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        1.066s         0.43%        1.066s       2.664ms           400  
                                             aten::mean         0.02%      48.162ms         0.04%     109.035ms      18.403us     999.292ms         0.41%     999.299ms     168.658us          5925  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     999.292ms         0.41%     999.292ms     168.657us          5925  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     977.771ms         0.40%     977.771ms     172.629us          5664  
                                    svd_v5/chol_qr/gram         0.00%       0.000us         0.00%       0.000us       0.000us     879.613ms         0.36%     879.613ms     610.842us          1440  
                                    svd_v5/chol_qr/gram         0.01%      31.232ms         0.07%     172.753ms     119.967us       0.000us         0.00%     876.125ms     608.420us          1440  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     845.115ms         0.34%     845.115ms     754.567us          1120  
                                              aten::neg         0.02%      50.349ms         0.06%     145.696ms      15.382us     809.753ms         0.33%     811.683ms      85.693us          9472  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     809.753ms         0.33%     809.753ms      85.489us          9472  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     697.452ms         0.28%     697.452ms      38.576us         18080  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     609.838ms         0.25%     609.838ms       1.525ms           400  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     555.097ms         0.23%     555.097ms       1.156ms           480  
                             svd_v5/chol_qr/cholesky_ex         0.00%       0.000us         0.00%       0.000us       0.000us     473.319ms         0.19%     473.319ms     325.977us          1452  
                             svd_v5/chol_qr/cholesky_ex         0.01%      27.898ms         0.10%     255.998ms     176.307us       0.000us         0.00%     430.155ms     296.250us          1452  
                             svd_v5/power_iteration/qr1         0.01%      13.659ms         1.87%        4.767s       7.448ms       0.000us         0.00%     422.136ms     659.588us           640  
                               aten::linalg_cholesky_ex         0.02%      43.507ms         0.07%     187.719ms     129.283us     408.606ms         0.17%     420.890ms     289.869us          1452  
                              svd_v5/project_to_lowrank         0.00%       0.000us         0.00%       0.000us       0.000us     404.112ms         0.16%     404.112ms       2.526ms           160  
                              svd_v5/project_to_lowrank         0.00%       1.890ms         0.00%       7.024ms      43.902us       0.000us         0.00%     403.860ms       2.524ms           160  
                                            svd_v5/prep         0.00%       0.000us         0.00%       0.000us       0.000us     372.856ms         0.15%     372.856ms       2.330ms           160  
                                            svd_v5/prep         0.00%       5.770ms         0.01%      18.540ms     115.876us       0.000us         0.00%     372.536ms       2.328ms           160  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us     362.642ms         0.15%     362.642ms      10.029us         36160  
                                           Unrecognized         1.40%        3.585s         1.40%        3.585s     607.592us     356.596ms         0.15%     356.596ms      60.440us          5900  
                                      svd_v5/projection         0.00%       0.000us         0.00%       0.000us       0.000us     318.724ms         0.13%     318.724ms       1.992ms           160  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     318.666ms         0.13%     318.666ms       1.811ms           176  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     296.542ms         0.12%     296.542ms       2.059ms           144  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     266.724ms         0.11%     266.724ms     196.121us          1360  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us     250.305ms         0.10%     250.305ms      61.199us          4090  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     249.825ms         0.10%     249.825ms       3.123ms            80  
                                       cudaLaunchKernel         0.35%     887.976ms         1.36%        3.484s      11.830us       0.000us         0.00%     245.129ms       0.832us        294533  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us     209.060ms         0.09%     209.060ms      13.109us         15948  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     206.172ms         0.08%     206.172ms      11.403us         18080  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     199.085ms         0.08%     199.085ms      52.724us          3776  
                                 svd_v5/chol_qr/to_fp32         0.01%      12.881ms         0.01%      34.718ms      24.109us       0.000us         0.00%     156.478ms     108.666us          1440  
                                 svd_v5/chol_qr/to_fp32         0.00%       0.000us         0.00%       0.000us       0.000us     156.478ms         0.06%     156.478ms     108.666us          1440  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     143.961ms         0.06%     143.961ms       1.800ms            80  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     142.817ms         0.06%     142.817ms       9.852us         14496  
                                        cudaMemsetAsync         0.01%      30.402ms         0.40%        1.019s     117.056us       0.000us         0.00%     111.471ms      12.807us          8704  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     108.053ms         0.04%     108.053ms      33.766us          3200  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     102.310ms         0.04%     102.310ms       1.483ms            69  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      59.605ms         0.02%      59.605ms      15.785us          3776  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      52.984ms         0.02%      52.984ms       3.655us         14496  
                                  svd_v5/reconstruction         0.00%       0.000us         0.00%       0.000us       0.000us      50.116ms         0.02%      50.116ms     313.223us           160  
                                  svd_v5/reconstruction         0.00%       3.105ms         0.00%      10.074ms      62.962us       0.000us         0.00%      45.702ms     285.637us           160  
                                           Buffer Flush         0.00%       9.693ms         0.00%      10.000ms     140.849us      44.409ms         0.02%      44.413ms     625.533us            71  
                                        aten::embedding         0.00%     530.477us         0.00%       2.610ms      37.825us       0.000us         0.00%      25.517ms     369.815us            69  
                                     aten::index_select         0.00%       1.008ms         0.00%       1.927ms      27.933us      25.517ms         0.01%      25.517ms     369.815us            69  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      25.347ms         0.01%      25.347ms       2.535ms            10  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      18.776ms         0.01%      18.776ms      58.675us           320  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      17.816ms         0.01%      17.816ms      20.245us           880  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.403ms         0.01%      14.403ms       9.002us          1600  
void gemmcn_skinny_kernel<float, 2, 4>(int, int, int...         0.00%       0.000us         0.00%       0.000us       0.000us      12.570ms         0.01%      12.570ms      39.281us           320  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.817ms         0.00%      11.817ms      21.101us           560  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.812ms         0.00%      11.812ms      21.092us           560  
                                 ampere_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us      11.471ms         0.00%      11.471ms      23.899us           480  
void trmm_right_kernel_core<int, float, 512, 5, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us      11.306ms         0.00%      11.306ms      20.189us           560  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.694ms         0.00%       9.694ms       1.114us          8704  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       9.111ms         0.00%       9.111ms       4.826us          1888  
                                   svd_v5/chol_qr/scale         0.00%       0.000us         0.00%       0.000us       0.000us       9.076ms         0.00%       9.076ms       6.303us          1440  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.029ms         0.00%       9.029ms      37.623us           240  
                                   svd_v5/chol_qr/scale         0.01%      26.850ms         0.03%      67.907ms      47.157us       0.000us         0.00%       7.877ms       5.470us          1440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.196ms         0.00%       7.196ms       1.605us          4485  
                                            aten::rsqrt         0.01%      21.031ms         0.01%      36.315ms       8.097us       7.050ms         0.00%       7.050ms       1.572us          4485  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.050ms         0.00%       7.050ms       1.572us          4485  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us       6.856ms         0.00%       6.856ms      17.139us           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.844ms         0.00%       6.844ms       2.259us          3030  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.269ms         0.00%       6.269ms       4.354us          1440  
                                            aten::triu_         0.00%       6.830ms         0.00%      11.997ms       8.263us       6.246ms         0.00%       6.246ms       4.302us          1452  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       6.246ms         0.00%       6.246ms       4.302us          1452  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.701ms         0.00%       5.701ms       2.309us          2469  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us       5.365ms         0.00%       5.365ms      16.767us           320  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us       5.195ms         0.00%       5.195ms       6.494us           800  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.041ms         0.00%       5.041ms       3.150us          1600  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.811ms         0.00%       3.811ms       5.294us           720  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.569ms         0.00%       3.569ms       3.541us          1008  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       3.485ms         0.00%       3.485ms       7.259us           480  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       3.358ms         0.00%       3.358ms       5.247us           640  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.200ms         0.00%       3.200ms       5.715us           560  
                                           svd_v5/total         0.00%       0.000us         0.00%       0.000us       0.000us       2.911ms         0.00%       2.911ms      18.196us           160  
