-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.206s         0.29%        8.206s      33.974us        241536  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us        8.025s         0.29%        8.025s      10.449ms           768  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        7.463s         0.27%        7.463s      42.781us        174441  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        7.264s         0.26%        7.264s       4.729ms          1536  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        6.543s         0.23%        6.543s       8.520ms           768  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        5.901s         0.21%        5.901s       1.281ms          4608  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        5.891s         0.21%        5.891s      52.811us        111552  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        5.129s         0.18%        5.129s     834.858us          6144  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        4.867s         0.17%        4.867s       3.168ms          1536  
                               aten::linalg_cholesky_ex         0.02%     547.365ms         0.08%        2.178s     157.302us        4.215s         0.15%        4.346s     313.962us         13843  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        4.088s         0.15%        4.088s       3.500ms          1168  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        3.864s         0.14%        3.864s      11.075us        348882  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.726s         0.10%        2.726s       1.482ms          1839  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.700s         0.10%        2.700s     206.799us         13056  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.428s         0.09%        2.428s      61.836us         39264  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        2.200s         0.08%        2.200s      12.612us        174441  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        2.156s         0.08%        2.156s      14.160us        152235  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.933s         0.07%        1.933s       2.280ms           848  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.926s         0.07%        1.926s      58.877us         32720  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.773s         0.06%        1.773s      15.891us        111552  
void potrf_alg2_upper_trsm<float, 5, 3>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.474s         0.05%        1.474s      10.649us        138392  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.111s         0.04%        1.111s       1.446ms           768  
                                           Buffer Flush         0.00%     123.787ms         0.00%     130.836ms      93.055us     830.730ms         0.03%     831.092ms     591.104us          1406  
                                  stage:back_projection         0.00%       0.000us         0.00%       0.000us       0.000us     661.087ms         0.02%     661.087ms     430.395us          1536  
                                               cudaFree         0.11%        3.147s         0.11%        3.147s     431.984us     659.733ms         0.02%     659.733ms      90.573us          7284  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     608.892ms         0.02%     608.892ms       2.114ms           288  
void potrf_alg2_syrk_kernel<float, true, false, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     547.432ms         0.02%     547.432ms       3.956us        138392  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     425.814ms         0.02%     425.814ms     364.567us          1168  
                                  cudaDeviceSynchronize         0.07%        1.949s         0.07%        1.949s       1.268ms     407.095ms         0.01%     407.095ms     264.863us          1537  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     283.434ms         0.01%     283.434ms       5.082us         55776  
                                     aten::index_select         0.00%      29.215ms         0.00%      58.647ms      31.890us     260.314ms         0.01%     262.765ms     142.885us          1839  
