-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        6.013s         0.23%        6.013s      38.050us        158018  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        5.567s         0.21%        5.567s     402.737us         13824  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        5.074s         0.19%        5.074s     254.087us         19968  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us        4.995s         0.19%        4.995s       1.626ms          3072  
                                        stage:orth_at_q         0.00%       0.000us         0.00%       0.000us       0.000us        4.317s         0.16%        4.317s     702.601us          6144  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us        3.601s         0.14%        3.601s       2.344ms          1536  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us        3.599s         0.14%        3.599s       1.172ms          3072  
                                       stage:projection         0.00%       0.000us         0.00%       0.000us       0.000us        3.245s         0.12%        3.245s       2.112ms          1536  
                               aten::linalg_cholesky_ex         0.02%     503.622ms         0.06%        1.723s     124.617us        3.140s         0.12%        3.253s     235.319us         13824  
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        2.992s         0.11%        2.992s       1.851ms          1616  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        2.903s         0.11%        2.903s       1.482ms          1959  
void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688g...         0.00%       0.000us         0.00%       0.000us       0.000us        2.721s         0.10%        2.721s       2.330ms          1168  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        2.580s         0.10%        2.580s       1.679ms          1536  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us        2.372s         0.09%        2.372s       7.507us        316036  
                                 stage:init_random_proj         0.00%       0.000us         0.00%       0.000us       0.000us        2.311s         0.09%        2.311s       1.505ms          1536  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.256s         0.09%        2.256s     172.762us         13056  
void potrf_alg2_cta_upper<float, float, 32>(int, int...         0.00%       0.000us         0.00%       0.000us       0.000us        1.936s         0.07%        1.936s      14.005us        138240  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.885s         0.07%        1.885s      15.813us        119232  
void trsm_right_kernel<int, float, 256, 4, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us        1.740s         0.07%        1.740s      53.165us         32720  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.691s         0.06%        1.691s      57.738us         29280  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us        1.621s         0.06%        1.621s       1.251ms          1296  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.348s         0.05%        1.348s       8.532us        158018  
